Dialog_Act,Utterance
id,I feel exhausted the whole time and I can't get anything done. Work is becoming a problem.
irq," I Understand, and what sort of work do you do?"
id,I work as a computer programmer. Luckily I can work from home a lot of the time because I find it difficult to get up in the morning.
irq,And how's your sleep?
id,"sort of okay, but then I I toss and turn all night and. And I feel terrible in the morning. So you don't find sleep very refreshing, but no, it makes it worse. If anything. I wake up feeling awful then late wake up really late and not often after 11:11am "
yq,do you get sleepy in the daytime?
op,"Yes, I do. Because I get so tired. I often need to take a rest or a nap during the day."
irq,Are there any other physical symptoms that are causing you problems at the moment?
id,"My muscles ache quite a lot. My legs, my arms, my back. All over. Really."
irq,muscle aches all over your body. any symptoms?
id,I get a lot of sore throats. And I think there might be some kind of infection running around my system.
crq,You feel that there's an infection running through your system?
op,Yes. And why else would I feel so ill all the time.
ack,I see. Is there any other reason you think your symptoms might be caused through an infection?
id,"Well, it all started when I had a really bad dose of the flu."
id,"Alright, so let's see if we could just talk about the moment of the presentation again. I want to try to help you develop some strategies to bring those anxiety symptoms down. "
ack,"Okay, right. "
id,"Let's actually go right before the moment so you're still in the, you're still sitting down, and you're getting ready to present. Let's just say your second present. Yeah, like we've talked about and you're thinking they're going to seeming as anxious. They're gonna think I don't belong here. These are the right. Okay. So these thoughts occur because you have an expectation rule one add to that you brought into that class, when you walked into that class, you have these expectations already. It's perfectly natural. It's not right or wrong. Everyone has these beliefs. And whenever these beliefs are and we'll talk about that another point, they combined with the stressor of having this presentation in front of you, right, and the classmates watching you, and they result in these thoughts. We call them automatic thoughts, "
ack,okay
id," And just like the beliefs, they're not good or bad. They don't say anything about the person having them. They're just thoughts. Actually, they're fairly understandable and natural thoughts. The problem is that they lead to symptoms. So, you're sitting there at your desk, and you're thinking, they're gonna see that I'm anxious. They're gonna realize I'm not good enough. I think I'm not good enough, right? What reaction Do you have when you have that far?"
id,"I guess I'm like very observant, like I started looking around, like, I'm sweating. Like I'm having physical responses, and I'm looking around to see if anyone's already looking at me, like hyper vigilance."
id,so distressing symptoms.
ack,Yeah.
irq,"What's something that you could send yourself in that moment, that would maybe get in between that thought, and that reaction, so that thought of, I'm not gonna know I'm not good enough. I think I'm not good enough. And that reaction"
id,"I mean, I think in that moment, most people are looking at the person who's presenting and not at me. And so that, you know, I can maybe like, take some deep breaths or try to calm myself down. Maybe like look over my notes one more time. Because they're all watching the person who is presenting not me."
id,"Okay. So some some deep breathing, looking over your notes, like preparing yourself for kind of focusing on that and realizing they're not really looking at you anyway for a moment. Okay, good. Good. Um, you bring your notes with you to class?"
id,"I mean, like usually have like index cards, or maybe like some stats on something that I want to look over like some numbers or something I don't want to forget."
yq,Okay. So You always have those with you.
op,Yeah.
yq,It's just a matter of can you focus your attention on them?
id,"Right, exactly enough to not forget them."
crq,"And you know, if you're focusing on that, and you're thinking about that, you're not thinking about whatever they might be thinking about"
cd,"Right, exactly."
irq,And how about the deep breathing? Is that a strategy you've tried before?
id,"a little bit, but with not much success, because usually when I think to remember it, I'm in, you know, panic mode, and then it's really hard."
crq,So you've been able to do it sometimes.
op,"Yeah, not often, not consistently."
irq,any other evidence that points toward you being imposter?
id,Besides My bad grade? Not a whole lot.
cr,Right. So to be safe to say that a lot of that thought of I'm not good enough is kind of based on your feelings of anxiety.
op,Yeah. Which are really intense like panic almost in the moment.
cr,Yeah so in a way you're believing With the anxiety will lead you to believe.
op,"Yeah, definitely. "
id,"But in the bright light of scrutiny, there are a lot of facts to support the worst case, which is you don't deserve it. How about evidence that refutes that you're not good enough?"
id,"I would say that, you know, I was accepted into the program. Like there's kind of like, a pretty rigorous sort of testing and stuff, which I passed, to get interviews and such to get into the program. So I did that. Like I said, I'm a pretty good student, all considering, you know, before this kind of flick was happening."
id,"Okay, so you've got through a rigorous process to become a student You're doing well. You mentioned before, just the one bad grade right? Okay, so if you have friends in this program, right, if one of them came to you with this, this balance of, you know, one bad grade and some anxiety, yeah, versus passing, you know, rigorous standards and doing well, otherwise, what advice would you give them?"
id,"I mean, now that you're kind of like talking about it, like, you know, this or that sort of thing. It makes sense. I would probably say that, well, you seem to be doing pretty well so far. You know, that anyone evaluating would look at all of the cumulative how you're doing your performance, rather than that one grade"
orq,would you feel comfortable giving advice to yourself?
od,"I think I tried to sometimes, but my anxiety symptoms kind of like really, like you were saying, your anxiety tells you sort of I think I can think that but I think my anxiety symptoms are such in the moment that it's really hard. You know, and I'm replaying what happened before in my head anticipation predicting will happen again."
orq,"So, so let's look at the the thought and the feeling. If you had to rate the percent that you believed this thought, this belief that you are not good enough to be in the program, like right now right now, yeah, but here with me. How much of your mind believes that that's true?"
od,"I would say like, you know, a two or three like not very, I don't believe it very much right now because You know, I'm not presenting and it's just you and I not like a group full of people. So that pressure is not there here."
crq,So right now you're really not buying the idea that you're not good enough.
op,"Yeah, that is correct "
irq,"So now let's move to let's say right in the near the end of presentation when that anxiety is there, and the classmates that could be looking at you, it could be negatively evaluating you because you're worried about how much do you believe that thought then?"
id,"I don't feel really confident. In that moment. It feels very real. Like, like any moment, they're gonna kick me out. Like, I'm just not doing well. I'm stuffing."
irq,"Yeah. really intense. So would you think that you were a more accurate evaluator of what's true or not. Now, or when you're in that state of anxiety,"
id,"definitely now that anxiety that, you know, heart rate and sweating is not there."
irq,"So this evaluation, the percent that you believe that true, this evaluation is more accurate?"
op,"Yes, I think so."
irq,"And how much time in any given day would you spend kind of in a mood right now, or you can evaluate accurately?"
id,"I would say, you know, when I'm not at risk of presenting, like, I feel like I spend the majority of my time, like, it's not something I worry about all the time, just leading up to and then mostly that day,"
crq,"okay. So the, so you're able to evaluate the way you are now, the vast majority of the time, right? There's a limited amount of time when you're not when there's A lot of motions going through, right? And at those times, you're maybe a little less reliable,"
op,right. Like my judgment is clouded.
yq,"However, in that moment you still, those thoughts are strong, right? "
op,"Yes, very troubling. "
crq,"Even though it's a small percentage, it's intense. And you kind of carry that around a little bit."
op,Yeah. Exactly.
id,So I can see why this is frustrating for you.
irq,"Alright, so let's see if we could let's rank those two things. Right so one is everyone's judging me how I was and the other is a poor grade. Which one is larger fear for you?"
id,I would say maybe like judging.
crq,"Okay, so the grades a concern."
cd,Yeah but I figured I could do better on the subsequent one but when people are have this opinion of you I feel like that doesn't go away as quickly
crq,What would it mean? If they they thought you were anxious during that presentation?
cd,I guess I worried that they would think I'm anxious because I don't know what I'm doing or I don't belong there. 
crq,"So if they notice your anxiety, then they think you don't belong in that level"
cd,"Yeah. Like, I don't deserve to be in that program."
crq,"If they don't recognize those symptoms, they wouldn't think that, do they?"
cd,they might write that maybe they think that's why I'm anxious or that's why I'm not doing well.
orq,"Well, how do you feel about your abilities and status in the programming room?"
od,"I think you know, typically, I'm one of the top students in my program, and I've seen two Get the concepts pretty well. It's just when I have to demonstrate those concepts or demonstrate via, like a presentation or something, that I'm worried that, you know, maybe I'm an imposter or something, but so I start to question myself. But I think in general that, you know, I'm a pretty good student before this. And I'm doing pretty well in the program."
crq,"So you're a good student, you recognize that you have this one area where you don't feel like you do a great job. That's presentations. In terms of grade, you really only had one bad presentation. But grades aside, you're anxious. And you're worried your classmates are gonna pick up on them."
cd,"Yeah, exactly."
irq,Okay. So if they thought you were us were imposter. So if they thought you were imposter to say that that was something they actually believe because of what's been happening. What would that mean? What would it mean to your classmates that you were an imposter?
id,I don't know. Maybe I am. Maybe I don't deserve to be there.
crq,You don't deserve to be there.
cd,like maybe I shouldn't be in this program. I think they should just drop out.
crq,"So if they believe you're an imposter based on these physical symptoms, like anxiety and mood that means to you anyway, that that means you shouldn't be on there."
op,Yeah.
orq,What's it feel like to say that
od,"Depressing I feel like I've worked really hard. You know, to get through atleast halfway through my program. And it really hurts to think that that will be true."
id,"Just think this whole time you really been given faking Do you really belong there?. So I'd like to move a little bit into evaluating evidence. So in this kind of therapy, we like to look at what, you know, what we're feeling and what we're thinking, and what's we can see what's observable around us. And, you know, that becomes evidence and then we analyze it, evaluate it, okay. You're worried at some level. You're worried that you don't deserve to be where you are right now. Yeah. That you're not good enough. To be a student in this program, yeah, programming. What evidence supports that belief that you're not good enough?"
id,"Now that I'm thinking about it here, I mean, there's not a ton to support. But in on that day, I can think of all sorts of, you know, things to tell myself"
irq,what's going on that day.
id,"So maybe like I'm not prepared or because I'm messing up on the presentation that I'm going to get a bad grade and you know, if I can't speak in front of people, how am I going to speak in front of kids as a teacher, you know, one day that it will translate to something else. I can't get past this."
crq,"So even if you survived the program, somehow you might be bad at your job"
op,yeah
irq,Does the feeling itself of not being prepared interfere with preparing?
id,"Yes, it's really hard. So like when I'm in the middle of being worried, I'm it's really hard for me to focus. So I can't focus on like what I need to do. Because I feel like my mind is on a lot of different things and I can't focus on you know exactly what I should be doing. It's just like, I'm worried about You know, all the different aspects."
crq,"Alright, so your ability to concentrate and do the hard work of preparing is affected"
cd,"Yeah, it's like focus my energy on the right things. I'm just like wasting time worrying."
crq,"Alright, so this excessive worrying and all this interfering of preparing all this goes on right up until you're getting ready to present"
op,Yeah. And then like while I'm presenting
crq,so let's talk about that let's go into the actual day a present so we have a successive work coming in it's interfering with your ability but it's distressing for you.
op,Yeah.
irq,Now these presentations are in class? 
id,Yeah
irq,So it's you're in you're in the classroom. Do you write the only one to present in that classroom is it rotate through several PV?
id,"It depends on the presentation. Sometimes there's like one or two other people that have to present that night, depending on like how long the topic is."
irq,"All right, well, let's choose the last time you presented that classes as a template. What was the order to go in there?"
id,"Well, the one that I really messed up, I think in that I was first But usually, like, I'm like, second maybe."
irq,"Okay. So for this example, let's say you're through the second. Okay, so you're sitting in the classroom and another student is presenting. What's going through mind that?"
id,"I feel like I am totally zoned out. Like I'm not even paying attention to what that person saying, because I'm so worried about how I'm gonna mess it up. You know, I'm, I'm starting to like be sweaty, like my hands are clammy, my heart started to race a little bit, and I'm just totally zoned out on what they're doing. Just, you know, worrying about what's gonna happen when I get up there."
id,"So in that moment as you're seated, you're not really watching their presentation as much because you have these strong or somewhat strong physical symptoms. You have your heart racing a bit is sweaty palms. You're zoned out. Have you ever felt the need desire to, like, run out of the room?"
op,Yes. It's funny you should say that was a little bit hesitant to mention that but I kind of I do I feel like I need to find excuse to like use the bathroom or I just need to get out of there.
irq,"Yeah, so what do you feel is most pressuring you to leave the room like what? What symptom?"
gc,"Um,"
irq,"And what thoughts are going through your mind right then like, so let's take that kind of severe moment. When you're, you're, let's just say still before the presentation, okay? So you're sitting at the desk and your heart rates elevated. And you're not focusing on what they're doing. You're zoned out your anxieties high. What was going through your mind right, then?"
id,"I think I'm thinking, like, I'm gonna bomb this anyway. So I might as well just, you know, not go through the stress of having to do it. Like I've already in my head, I know that it's going to end badly."
crq,So you've already failed.
cd,"right. So there's no sense in getting up there. And maybe if I don't get up there, you know, I guess it couldn't be any worse. So I might as well just leave"
yq,Are you embarrassed that the professor or Other students will see that you were really anxious?
op,"Yeah, I don't want I figure if I leave and people won't, will just make me think I was sick or whatever. And it'll be a better situation, if I just left then happened to see me up there, you know, sweating and all these other symptoms that I have when I actually get up there, it would be better just to leave before that starts."
crq,"Okay. So, so better to be thought ill and had to leave because you're saying. "
cd,"Yeah, or have them wonder what happened then to just be up in front of everybody, you know,"
crq,to have a severe anxiety for that buddy. And then they can very embarrassing. That would be a very undesirable outcome for you.
cd,Right.
irq,"So as you're debating that thought, because that's coming to your head, and you're thinking I just need to, yeah, gotta get out here. What happens there, so we're maybe What, 15 minutes before we present? So tell me about that. So you have that thought you want to flee,"
id,"right. And I'm looking at the clock and saying, you know, like, how much more time in this presentation before I have to go like, should I go? Should I not go? What are the consequences of running out? You know, and kind of playing out, which would be worse?"
yq,Have you ever had to run out?
op,"Um, once I went to the bathroom to try to, like calm myself down or talk to myself, or you know, like, Cool off my face. Um, but I came back"
crq,"and you presented then you presented Alright, so you you survived. One of the more stressful presentations"
cd,"Yeah, I almost felt like I was gonna be ill. I was so stressed that day."
irq,"That was very, very tough on you. What happened on that particular day?"
id,"So typically, like, I go to load my presentation, at this point, like, I have my new cards or whatever, in front of me. I am like, shaking at this point. I am so I don't know if it's scared, or worried or maybe a combination of everything. And I'm just like sweating. My heart is racing. Like I almost feel dizzy. I'm just so stressed out about what's going to happen. And then you know, I'm starting to speak. And then the presentations are usually like 20 minutes or so. Okay, so I have to stay up there for the duration and I'm just like, you know, sweating and then I'm wondering like, are people looking at me or people? Can people see it? You know, am I going to forget something?"
crq,"So the some of the thoughts are you wonder if they can see how anxious you are you wonder if you're gonna do poorly on the presentation,"
cd,"right. Or they think I've been lazy and I didn't prepare, are they going to think that, you know, I'm dumb or I don't know, you know what I'm doing."
crq,"So they might, they might think less of you as a person."
cd,Right. Or like be judging me. Okay.
id,Yeah. So there's a number of concerns that kind of going through your mind in that moment. So when does this start to turn around so you start presenting is 20 minutes you initially get up there and get your presentation up on the The projection monitor. Yeah. When does it start to turn the corner?
id,"Um, it's depends sometimes I settled down a little bit, but then usually like that, I get some sort of rhythm I think. And then, but then it gets anxiety again until I get my grades. Do you know what I mean? And I'm like, until, because I feel like I'm gonna do poorly. Until that happens when"
crq,when you receive the grades.
cd,"Sometimes, like she usually doesn't give them that day but like often like the next day or the day after"
yq,So does that intense anxiety that you're having while you're presenting last all the way?
on,now? It definitely like dissipates once I can like go sit down.
crq,"Okay, so so the sort of next big drop off for symptoms would be when you're done with  the presentation"
cd,"Yeah, when eyes are maybe no longer on me. They've moved on to somebody else. So I figured like, okay, they forgot about me. I'm safe."
yq,"All right, then. But then there's this other worry of now we have to see what the grades are right?"
id,And I convince myself that I did poorly.
yq,So the thought is going through your mind is I'm gonna receive a bad grade.
op,"Yeah, and that everyone saw me, you know, sweating and all these symptoms that I have everyone is judging me"
gt,"Hi, Hazel Hey doing today."
gt,Okay.
id,Okay. Yeah. I know when we met last time for your intake. You were concerned about some presentations that you had to give at school. Yeah. And you want to talk about that today?
id,"Yes. So, in school. I am in school for teaching. And we have to give presentations a lot as you can imagine, on different things and So it's something that's recurring. And what happened was, I gave a really bad one one time. My way of presentation. Yeah, I wasn't feeling very well. And I gave, I think I was just really tired from studying all night and I gave a really bad presentation. And then like now ever since, like when I've tried to give subsequent presentations, I'm just so nervous, and I'm up there like sweating and like starting to forget what I'm gonna say. And I'm just like, a fear of, of getting up there and having to get a presentation because I feel like I'm gonna bomb it."
irq,"Alright, so was there a time for like, recently when you had to give presentations?"
id,"Yeah, I mean, like, before and earlier in my life, I'm towards the end of my degree. So you know, throughout program I have."
irq,How would you consider those?
id,"pretty well, I mean, I consider myself a pretty good student. So normally I do pretty well, it seemed to, you know, come out of nowhere."
crq,"So this presentation you gave with that received a poor score, maybe it was just an isolated incident."
cd,"Yeah, like I was saying I wasn't feeling very well."
yq,"But that experience has still led to a lot of things anxiety with subsequent presentations,"
op,"oh, yeah. Like, I'm worried about my grades suffering as a result. And you know how long well I'm going to do."
yq,"All right. So, would it be okay if we kind of step through the whole process of giving a presentation"
op,Sure. All right.
irq,"Just before I start with that, is this something that leads to anxiety? Like right now or other times are really just in that moment when you're presenting?"
id,"Mostly. It's most intense in that moment. And like maybe like leading up to it, like in preparation that I know that this is going to happen. Like, I always know when I'm going to present like, it'll be like the teacher will say, Oh, well, you know, your this Thursday, someone else's next Thursday. So the closer it gets to that event, the more anxious I am, like in anticipation."
crq,"Okay, so you start feeling anxiety. A few days before presentation?"
cd,"Yeah, I would say a few days mostly. "
irq,When does it start to get really distressing for you?
id,"like two days before or one day before that? I'm like, Oh, my gosh, like, Am I ready? Like what if I mess up? You know what if Get a bad grade all these like what ifs."
irq,"Okay, so would you be okay if we step into this process and kind of break down the steps of the presentation? Alright, so let's so what's one of the classes you're taking now?"
id,"early childhood,"
irq,"So let's say you have a presentation in that class a few days from now. I just have just a normal presentation. Yeah. All right. So, Let's now move to two days out, where you would start to feel a little anxiety about it. Yeah. What's going through your mind at that two day out point?"
id,"Um, I would say like, Am I prepared enough? Like, did I do enough?"
yq,"All right. So your thought is, did I do enough preparation?"
op,"Yeah. Which leads to maybe I did is what I'm really thinking like, I'm not prepared enough as I should be."
irq,"So that's that's the thought you're having 40 hours before the presentation. I'm not prepared enough. And kind of thinking about that thought. And what happens afterward? Do you have a reaction like any type of emotional, affective, affective reaction to that?"
id,"So at that point, I'm usually like, more like anxious, maybe like irritable a little bit. Mostly."
irq,And that goes substantially unchanged that feeling for how long?
id,"I'm like The day before it like kind of gets more intense when I'm like nitpicking like, well, I forgot this or I didn't forget this and, you know, remembering what happened last time when I didn't do so well and worrying about my grade, like more thoughts pop in my head of things that I forgot or what if sort of things."
crq,"Right, so the same type of thought just more intense, more intense and the feeling is also more intense."
cd,Yes.
id,"So let's say you go into a house, you go to the community, okay? You go into a house and have an off day. Maybe worried about making mistakes, maybe stressed about that. Maybe tired. And there's some evidence there that you should be able to pick up but you just you don't write somebody lies to you about what the conditions there are You kind of realize that they might not be telling the truth, but you're you're ready to get home. So you leave and then somebody hurt when you have a worst case. That's the type of mistake you're afraid of making.  What would that feel like to make that mistake?"
id,"Terrible, it would feel like, you know, I had a role in that kind of thing happening to somebody, like I was partially to blame for somebody being harmed. And that is like the exact opposite of what my job is supposed to be."
id,"So that would be a worst case outcome. You would be extremely upset. You're extremely upset now. While you're five out of 10 right now, but you're an eight when you're in bed in the morning. Yeah. Is it reasonable that a professional makes a mistake like that? This is the mistake of kind of missing something that normally would be caught. Is it reasonable? They continue on in the field and try to learn from that."
id,"I don't know, I mean, I'd like to think that I guess it's not possible to make that kind of mistake, but I think that that's naive. I think it is possible. And I, I would like to learn from that, but I don't know what other people would do. Like I don't know if I would lose my job or anything."
id,"Right, there might be consequences for that type of error. It's not intentional, something that like many mistakes would happen due to conflict confluence of circumstances who being tired of being the end of the day, not being honest. There's mitigation there. But still, I can appreciate you would want to make that mistake either way. What would your after making a mistake like that? What would your thought be? Would you be thinking?"
crq,"I would be thinking, I don't know how this will ever be better. I don't know how I'm ever gonna feel okay about what I did."
cd,"To my extension, I'll never feel okay about what I did. Yeah. And what do you think you would do then in terms of your reaction to that thought?"
gc,"I don't know. I mean, I guess ideally, I would say to myself, it's going to get better. You know, this will pass and everything but I don't know. It's just hard."
irq,What do you think would do to your performance?
id,"I think I would probably Take some time off. I mean, it's just like I would be so stressed afterwards. And worried I would make another mistake because I'm so stressed out and having trouble focusing."
id,"So in a strange way, the anxiety, the thoughts you're having now that result in anxiety, are leaving you more at risk to make a mistake."
ack,"Yeah, I mean, I guess I never thought about it like that, although that makes a lot of sense. Like it. If I, if I just calm down and try to let it go, then I'll do my job better and I won't have that risk as much. But if I keep feeling like this, I'm not focusing and then I could make a bigger mistake because of it."
id,"Right, so one of the thoughts you're having now is you can't make a mistake because it would be too devastating. And that titles like this. I have a thought you're having. So it's like you can't make a mistake. And this is leaving you emotionally less prepared and probably increased risk of making a mistake."
id,"Yes, you really get where they're coming from you really understand the suffering bowl."
id,"Yeah, I guess maybe that's part of where it's so hard for me is like, I know that I'm causing a lot of suffering for people."
irq,"Well, let's, let's talk about that. So you're in, you're in a position where you have to make some decisions about people's lives. And sometimes those decisions result in people being separated from the family. Sometimes they don't. Are you really the cause? In the larger picture? Are you really the cause of these families being broken up?"
on,"I guess not like it's their actions, if they were doing the right things, even if I did come in their kids wouldn't be removed. But it is still hard to be the one that pulls that trigger, you know."
id,"Well, you're the immediate cause kind of at the end of the whole process, but the true cause happened years or months before you got there as people made decisions that maybe weren't the best for their children for themselves. So you're really coming in, to some extent the tail end of a long series of behavioral choices"
op,Yeah. That's true.
irq,"Ultimately, for this family that's causing you the cycle that you're worried about. In kind of the looking at the long term lengths, do you think the children are better off? Because they're not with a family right now?"
id,"I mean, if they get with a good family, which, you know, usually they do. It's, it's good for them, you know, maybe it could be a wake up call for the parents, or if not, at least the kids are getting their needs met and stuff like that. It's probably really hard for the kids and they probably want to go back to their parents. But I think overall, we wouldn't be doing this if we didn't think that it would be best for the kids to go to a place where they're going to be taken care of."
id,"So immediately, there's some pain because you have to pick up the family but the long run. Maybe there's a better result. Even with that, though, let's talk about the concern you have about making a poor decision. So this based on what you're describing, do you believe this was actually a poor decision?"
on,I guess not. It just feels like it is.
id,"Yeah, it feels like it is. And it was a tough decision. But looking at it in the weight of the evidence. Maybe you can appreciate that you might have had to the same thing you if you go back in time."
op,"Yeah. Yeah, I think so. And I'm not sure anybody else would have made a different decision either."
id,So you really did what you had to do. Because there's still a pain component there for them. You're feeling torn. And you don't want to go through this again?
on,"No, I mean, not this feeling. But I do want to keep doing my job."
crq,"But doing your job in a world where you could make a mistake, that's not as appealing."
cd,"Yeah, I mean, I guess I always knew I could make mistakes, but it just feels really real now, I guess that is the difference."
id,"So in this particular instance, this what you're saying doesn't seem like a mistake. Let's consider a situation where you did make a mistake. That would be the worst case, right? We're just taking things to the worst case scenario. Okay. Your fear here is that in a sense, regardless of what already happened, going forward, you'd be mortified to make an error. Because this pain you're feeling right now. There's just a variable that's thrown everything into chaos for you. So looking around like where you work and and the history of your profession, what's the mistake you see people make from time to time and you'll be frightened of."
id,I guess the biggest mistake you can really make is to miss some form of abuse or something like that.
id,And then someone's hurt. Okay.
id,"Well, I could see these types of decisions where you're talking about potentially breaking families up and having real consequences to families. I could see how these decisions could be. I'm sure there's guidelines you are supposed to follow that you really don't have a whole lot of choice in. But you could also really agonize and overanalyze a decision like that because the consequences are so great. Maybe somehing that could be happening."
id,"Yeah, I think so. I mean, you're right. To a certain extent, we have guidelines and everything like that. But I also feel like certain things, it just isn't black and white, and I have to make a judgment call. And I used to trust my judgment, but now I feel like how do I know that I'm making the right decisions?"
id,"Yeah. Well, and this is really the one of the key parts of what may be causing this distress. We talked about this insecurity. You're on this I'm sure. And so you know, one question may be, did you make a efficient or less efficient decision with this particular family but the larger question is, you as a person can you can you do this, this job and if you do it and make money Like, what would you do then? Could you go through this again?"
id,"Yeah, I think that's where the fear is, is that if 99 times out of 100 I do it right, there's still gonna be that one that I messed up. And I'm starting to feel like that one mistake could be like, life changing for somebody."
id,"And it could be you certainly in a job where, like, most jobs where mistakes have consequences. You also do a lot of good for a lot of people. So by you not being in the field. They're not getting the benefit of the skills you have."
id,"I guess that's true. Like, yeah, maybe somebody else could come and replace me but do I think that they would be better at it? I don't know. I feel like I was pretty good at it before I started. have all these doubt."
id,"So, so mostly This was good until recently. Well, alright, let's look at this from another point of view. You really seem like, you can empathize with these families. You really, to me, it seems like you really know what they're feeling."
ack,Yeah I care about them
irq,"and appreciating their perspective. Take a moment and try to walk in their shoes. If a professional like yourself came to you and your family situation and maybe you're engaged in the activities where it was warranted that your family we've broken up temporarily. What would you want? How would you want them to process that? Like you said, thinking about the caseworker from the point of view of the family? How would you want them to feel that? Would you want them to process that decision?"
id,"I don't know. That's a hard question. I mean, if they took my kids away, even if it was the right thing, I would want them to be at least a little bit, you know, feel a little bit bad about having to make such a hard decision. But I guess if, you know, if they fell apart, every time that they made that kind of decision, they wouldn't be able to help other people."
id,"So from the family's point of view, if you're in that situation, you can appreciate what the caseworker has to do. Well, you'd like to have some compassion for you. Okay, that seems reasonable. Yeah. So now flip back into the role you're in. You made the decision you had to make although you're second guessing it That's separate. Do you have compassion for them?"
id," Yeah, I mean, I think that might be the problem is I have too much of it. You know, I worry about how they feel, even if maybe taking the kids away was the right thing. It's just like so devastating. To lose your kids, whether you're doing the right things or not, you know, you want your kids with you. You want to be able to take care of them, even if you're not doing a really good job at it."
irq,"So, alright, let's take a step back and talk about competency. What education Did you need for the job you have now?"
id,I have my bachelor's degree. And we got a little bit of training. You know every so often we get some training at work and stuff like that.
yq,Are you evaluated at work by anybody to see if you're in a job you should be?
op,"Yeah, I have a supervisor so they check up on stuff and also like if I feel like I have questions and stuff like that, I can go to them as well."
yq,Have you been Found in that system to be somebody who's satisfying the requirements of in terms of competency satisfy the requirements of employee.
op,"Yeah, I mean, I haven't been fired. So that's a good sign again,"
yq,"that's a good sign. Yeah, you haven't been fired. Have you ever had any type of write up or somebody discussing something with you?"
on,"No, I just I kind of feel like maybe the climate has changed a little bit at the office after this happened, like maybe other people think I didn't make the right decision. I guess maybe that's part of where all my doubts are coming from, like, no one has said to me and I have, you know, my supervisor hasn't called me in and said, I'm concerned about this, but I just feel like maybe  other people think that I did something wrong."
crq,"Alright, so there's no there's no evidence supporting that. In a kind of a direct fashion, like a supervisor coming to, but there's no other evidence supporting it based on your, what you're feeling, how you're perceiving things. Yeah, you're getting this feeling that, by the way, they're interacting with you."
id,"Yeah. Which, I guess maybe I shouldn't be that freaked out about because there have been other people who have made mistakes and like, the supervisors have talked to them and, you know, even then they didn't lose their jobs. So it's not like, you know, I, you know, I don't know, I guess it's not like just hearing them, or thinking that they're judging me is an indication that something terrible is going to happen or that I made this huge mistake."
id,"Alright, so you can see that I'm talking this through you can see that. So some of this could be feelings. Thoughts you're having, combined with what you're actually observing share, you're filtering your observations in a way that's maybe making them seem a little more destructive, or more negative."
id,"Yeah, it's kind of like, I know, it's not that big of a deal because, like I said, My supervisor hasn't talked to me and it's not like I've heard anything terrible about anything happening to the kids or anything like that. But I just feel like, you know, I have those thoughts like, oh, was she you know, saying something? You know, when she said that? Did she was she referring to what happened? and stuff like that?"
irq,Can you can you provide an example of an interaction with a coworker where where they said something that you thought maybe was referring back to this?
id,"Yeah. So like we were having like our regular work week. And we kind of like, you know, discuss how things are going. And it's been kind of a big deal what, you know, more so than usual that the kids were removed from this family. So, you know, one of my co workers kind of nudged me and said, like, oh, you're the bulldozer you, you know, you plowed right through that family took those kids away. And, you know, I think she meant it kind of, like as a joke and just, you know, maybe to say, like, you know, you did what you needed to do, but it kind of made me feel like does she think that I'm just callous? Like, does she think that I just didn't care and you get what I'm saying?"
id,"So she referred to as a bulldozer. And one way to take that would be powerful, efficient. Another way to take that would be kind of destructive we talked about before destructive powers. They're mechanical they don't have a lot of feeling."
ack,Yeah.
id,So you don't know exactly know how she meant it but you're thinking maybe it was negative
id,"yeah. And I guess it kind of like goes back to like my fear that I didn't think it through that I kind of just, you know, I made the report and that was that and, you know, it makes me feel like Was I being mechanical? Was I just was I just nonchalant about it? Should I have put more thought into it? And it really, you know, it hit me where it hurt I guess you know."
crq,So her saying that really kind of brought up this thought that maybe you are maybe you are not empathetic enough or compassionate enough.
cd,"Or even just thoughtful. I guess maybe I was just being, you know, just going about my job without putting a lot of thought into What I was doing exactly."
id,"So, maybe one thing you would have done differently in light of that comment. At the time making a decision, you would have thought through the steps more."
ack,"Yeah, maybe taking a little bit more time."
irq,"So, can you think of another case you're working on another family different than the one that we've initially talked about? Where you've made a decision that seemed like was fairly clear caught like one you would have made before and yet you're, you're thinking about it replaying it?"
id,"Yeah, I have this case. You know recently where it's a single dad, the mom passed away and I go in and check on him and his son, you You know, things are going well, but, you know, I think the dad has a hard time so it's not like it was before when the mom was there. Not that I wasn't there before that but you can just tell that like, things are a little different. But you know, obviously, my decision is that things are going well for the kid, you know, they're gonna he's gonna stay there. Dad is stable, but I just worried like, is the dad under too much stress? Is he really taking care of the kid as good as you know, what if he's just cleaning up the house and doing the right things on there while I'm not there? You know, does he have the energy to take care of his kid? Or is everything really the way I it appears? Or is there more going on? I just don't know."
ack,Right. So you're handling it to the best of your ability. But there's still these these thoughts that are coming out. Kind of encouraging you to second guess your judgment?
id,"Yeah. And it's like, I can't let it go. Like, I saw him like two weeks ago. And I still wonder if I have other cases like that. It's like, they're all running through my head. And I have these thoughts like, Did I do the right thing? Can I do the right thing?"
crq,"Maybe what if, what if the worst happens?"
cd,"And I didn't see it. Like, what if something terrible happens? And I should have known better."
id,"So it speaks back to your competency as a professional again. So that's, that seems to be court this. I think Here are several things you talk about seem to connect back to. Are you capable to be in this field? And should you be trusted?"
op,"Yeah, definitely."
